date;total_cases;new_cases;new_cases_smoothed;total_deaths;new_deaths;new_deaths_smoothed;total_cases_per_million;new_cases_per_million;new_cases_smoothed_per_million;total_deaths_per_million;new_deaths_per_million;new_deaths_smoothed_per_million;reproduction_rate;total_tests;new_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;positive_rate;tests_per_case;total_vaccinations;people_vaccinated;people_fully_vaccinated;new_vaccinations;new_vaccinations_smoothed;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred;new_vaccinations_smoothed_per_million;new_people_vaccinated_smoothed;new_people_vaccinated_smoothed_per_hundred;population
1/3/2020;6.0;6.0;0.857;;0.0;0.0;0.578;0.578;0.083;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;10384972.0
2/3/2020;6.0;0.0;0.857;;0.0;0.0;0.578;0.0;0.083;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;10384972.0
3/3/2020;6.0;0.0;0.857;;0.0;0.0;0.578;0.0;0.083;;0.0;0.0;;570.0;;0.055;;;;;;;;;;;;;;;;;10384972.0
4/3/2020;6.0;0.0;0.857;;0.0;0.0;0.578;0.0;0.083;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;10384972.0
5/3/2020;6.0;0.0;0.857;;0.0;0.0;0.578;0.0;0.083;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;10384972.0
6/3/2020;6.0;0.0;0.857;;0.0;0.0;0.578;0.0;0.083;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;10384972.0
7/3/2020;6.0;0.0;0.857;;0.0;0.0;0.578;0.0;0.083;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;10384972.0
8/3/2020;86.0;80.0;11.429;;0.0;0.0;8.281;7.703;1.1;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;10384972.0
9/3/2020;86.0;0.0;11.429;;0.0;0.0;8.281;0.0;1.1;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;10384972.0
10/3/2020;86.0;0.0;11.429;;0.0;0.0;8.281;0.0;1.1;;0.0;0.0;;;;;;179.0;0.017;0.0654;15.3;;;;;;;;;;;;10384972.0
11/3/2020;86.0;0.0;11.429;;0.0;0.0;8.281;0.0;1.1;;0.0;0.0;;;;;;179.0;0.017;0.0718;13.9;;;;;;;;;;;;10384972.0
