date,population,Susceptible,Exposed,Infected,Recovered,Deaths,Removed
1/3/2020,10384972.0,10383618.0,1348.0,6.0,0.0,0.0,0.0
8/3/2020,10384972.0,10383538.0,1348.0,86.0,0.0,0.0,0.0
15/3/2020,10384972.0,10383211.0,1348.0,409.0,0.0,4.0,4.0
22/3/2020,10384972.0,10382830.0,1348.0,777.0,0.0,17.0,17.0
29/3/2020,10384972.0,10382292.0,1348.0,1290.0,0.0,42.0,42.0
5/4/2020,10384972.0,10382192.0,914.0,1789.0,0.0,77.0,77.0
12/4/2020,10384972.0,10382088.0,729.0,2056.0,0.0,99.0,99.0
19/4/2020,10384972.0,10382041.0,658.0,2160.0,0.0,113.0,113.0
26/4/2020,10384972.0,10381994.0,402.0,2442.0,0.0,134.0,134.0
3/5/2020,10384972.0,10381859.0,433.0,2536.0,0.0,144.0,144.0
10/5/2020,10384972.0,10381739.0,453.0,2627.0,0.0,153.0,153.0
17/5/2020,10384972.0,10381625.0,463.0,2718.0,0.0,166.0,166.0
24/5/2020,10384972.0,10381506.0,535.0,2752.0,6.0,173.0,179.0
31/5/2020,10384972.0,10381302.0,692.0,2713.0,86.0,179.0,265.0
7/6/2020,10384972.0,10381045.0,814.0,2522.0,409.0,182.0,591.0
14/6/2020,10384972.0,10380869.0,870.0,2272.0,777.0,184.0,961.0
21/6/2020,10384972.0,10380622.0,1003.0,1867.0,1290.0,190.0,1480.0
28/6/2020,10384972.0,10380062.0,1444.0,1486.0,1789.0,191.0,1980.0
5/7/2020,10384972.0,10378981.0,2321.0,1422.0,2056.0,192.0,2248.0
12/7/2020,10384972.0,10377384.0,3661.0,1573.0,2160.0,194.0,2354.0
19/7/2020,10384972.0,10375720.0,5149.0,1466.0,2442.0,195.0,2637.0
26/7/2020,10384972.0,10374274.0,6348.0,1612.0,2536.0,202.0,2738.0
2/8/2020,10384972.0,10372929.0,7133.0,2075.0,2627.0,208.0,2835.0
9/8/2020,10384972.0,10371165.0,7816.0,3059.0,2718.0,214.0,2932.0
16/8/2020,10384972.0,10368923.0,8461.0,4599.0,2758.0,231.0,2989.0
23/8/2020,10384972.0,10366729.0,8991.0,6208.0,2799.0,245.0,3044.0
30/8/2020,10384972.0,10364338.0,9936.0,7502.0,2931.0,265.0,3196.0
6/9/2020,10384972.0,10361847.0,11082.0,8703.0,3049.0,291.0,3340.0
13/9/2020,10384972.0,10358498.0,12667.0,10339.0,3157.0,311.0,3468.0
20/9/2020,10384972.0,10352186.0,16737.0,12426.0,3275.0,348.0,3623.0
27/9/2020,10384972.0,10340857.0,25872.0,14378.0,3478.0,387.0,3865.0
4/10/2020,10384972.0,10323348.0,40990.0,16487.0,3733.0,414.0,4147.0
11/10/2020,10384972.0,10304377.0,57470.0,18760.0,3908.0,457.0,4365.0
18/10/2020,10384972.0,10287340.0,71158.0,21807.0,4148.0,519.0,4667.0
