Step,Susceptible,Exposed,Infected,Recovered
0,88175,45,5,0
1,88147,63,12,3
2,88052,146,23,4
3,87854,316,48,7
4,87649,470,95,11
5,87558,473,170,24
6,87343,598,245,39
7,87021,816,318,70
8,86367,1325,419,114
9,85275,2183,604,163
10,83432,3617,944,232
11,80434,5918,1516,357
12,76191,9081,2409,544
13,71799,11847,3736,843
14,67991,13497,5485,1252
15,64389,14643,7276,1917
16,60651,15682,9044,2848
17,56448,17013,10852,3912
18,51758,18698,12527,5242
19,46645,20475,14383,6722
20,41297,22059,16356,8513
21,35783,23733,18279,10430
22,30361,24966,20219,12679
23,25376,25509,22241,15099
24,20903,25457,24178,17687
25,16884,24930,25797,20614
26,13569,23726,27249,23681
27,10886,22164,28154,27021
28,8641,20472,28838,30274
29,6906,18559,28981,33779
30,5534,16565,28882,37244
31,4503,14562,28433,40727
32,3711,12651,27678,44185
33,3057,11005,26634,47529
34,2603,9510,25379,50733
35,2213,8181,24011,53820
36,1900,7014,22518,56793
37,1633,6056,21025,59511
38,1424,5184,19582,62035
39,1257,4397,18124,64447
40,1130,3746,16746,66603
41,1010,3165,15376,68674
42,932,2684,14083,70526
43,853,2252,12865,72255
44,781,1879,11751,73814
45,730,1597,10641,75257
46,691,1337,9691,76506
47,651,1127,8833,77614
48,616,952,7989,78668
49,587,783,7211,79644
50,558,685,6521,80461
51,537,595,5871,81222
52,519,501,5289,81916
53,498,433,4765,82529
54,486,356,4305,83078
55,471,312,3885,83557
56,459,265,3481,84020
57,451,224,3100,84450
58,442,187,2777,84819
59,434,161,2499,85131
60,426,137,2244,85418
61,421,120,1978,85706
62,418,101,1777,85929
63,414,88,1595,86128
64,412,77,1412,86324
65,408,66,1261,86490
66,407,53,1128,86637
67,405,50,998,86772
68,400,42,900,86883
69,399,34,790,87002
70,397,27,709,87092
71,396,21,609,87199
72,396,17,545,87267
73,393,15,479,87338
74,392,16,421,87396
75,392,14,366,87453
76,391,12,330,87492
77,389,10,305,87521
78,387,11,271,87556
79,385,10,244,87586
80,385,9,209,87622
81,385,6,191,87643
82,385,4,164,87672
83,385,4,140,87696
84,385,2,124,87714
85,384,3,112,87726
86,384,2,95,87744
87,384,1,84,87756
88,384,1,76,87764
89,384,1,63,87777
90,384,1,58,87782
91,384,1,49,87791
92,384,1,48,87792
93,384,1,44,87796
94,384,1,35,87805
95,384,1,31,87809
96,384,1,28,87812
97,384,1,26,87814
98,384,1,20,87820
99,384,1,18,87822
100,384,1,16,87824
101,384,1,15,87825
102,384,1,14,87826
103,384,0,14,87827
104,384,0,12,87829
105,384,0,11,87830
106,384,0,9,87832
107,384,0,8,87833
108,384,0,8,87833
109,384,0,8,87833
110,384,0,7,87834
111,384,0,7,87834
112,384,0,6,87835
113,384,0,6,87835
114,384,0,5,87836
115,384,0,3,87838
116,384,0,3,87838
117,384,0,3,87838
118,384,0,3,87838
119,384,0,3,87838
