Experiment,BETA,SIGMA,GAMMA,Filename
1,0.18,0.35,0.1,seir_beta0p18_sigma0p35_gamma0p1.csv
2,0.18,0.35,0.125,seir_beta0p18_sigma0p35_gamma0p125.csv
3,0.18,0.35,0.15,seir_beta0p18_sigma0p35_gamma0p15.csv
4,0.18,0.35,0.175,seir_beta0p18_sigma0p35_gamma0p175.csv
5,0.18,0.35,0.2,seir_beta0p18_sigma0p35_gamma0p2.csv
6,0.18,0.4,0.1,seir_beta0p18_sigma0p4_gamma0p1.csv
7,0.18,0.4,0.125,seir_beta0p18_sigma0p4_gamma0p125.csv
8,0.18,0.4,0.15,seir_beta0p18_sigma0p4_gamma0p15.csv
9,0.18,0.4,0.175,seir_beta0p18_sigma0p4_gamma0p175.csv
10,0.18,0.4,0.2,seir_beta0p18_sigma0p4_gamma0p2.csv
11,0.18,0.45,0.1,seir_beta0p18_sigma0p45_gamma0p1.csv
12,0.18,0.45,0.125,seir_beta0p18_sigma0p45_gamma0p125.csv
13,0.18,0.45,0.15,seir_beta0p18_sigma0p45_gamma0p15.csv
14,0.18,0.45,0.175,seir_beta0p18_sigma0p45_gamma0p175.csv
15,0.18,0.45,0.2,seir_beta0p18_sigma0p45_gamma0p2.csv
16,0.18,0.5,0.1,seir_beta0p18_sigma0p5_gamma0p1.csv
17,0.18,0.5,0.125,seir_beta0p18_sigma0p5_gamma0p125.csv
18,0.18,0.5,0.15,seir_beta0p18_sigma0p5_gamma0p15.csv
19,0.18,0.5,0.175,seir_beta0p18_sigma0p5_gamma0p175.csv
20,0.18,0.5,0.2,seir_beta0p18_sigma0p5_gamma0p2.csv
21,0.18,0.55,0.1,seir_beta0p18_sigma0p55_gamma0p1.csv
22,0.18,0.55,0.125,seir_beta0p18_sigma0p55_gamma0p125.csv
23,0.18,0.55,0.15,seir_beta0p18_sigma0p55_gamma0p15.csv
24,0.18,0.55,0.175,seir_beta0p18_sigma0p55_gamma0p175.csv
25,0.18,0.55,0.2,seir_beta0p18_sigma0p55_gamma0p2.csv
26,0.19,0.35,0.1,seir_beta0p19_sigma0p35_gamma0p1.csv
27,0.19,0.35,0.125,seir_beta0p19_sigma0p35_gamma0p125.csv
28,0.19,0.35,0.15,seir_beta0p19_sigma0p35_gamma0p15.csv
29,0.19,0.35,0.175,seir_beta0p19_sigma0p35_gamma0p175.csv
30,0.19,0.35,0.2,seir_beta0p19_sigma0p35_gamma0p2.csv
31,0.19,0.4,0.1,seir_beta0p19_sigma0p4_gamma0p1.csv
32,0.19,0.4,0.125,seir_beta0p19_sigma0p4_gamma0p125.csv
33,0.19,0.4,0.15,seir_beta0p19_sigma0p4_gamma0p15.csv
34,0.19,0.4,0.175,seir_beta0p19_sigma0p4_gamma0p175.csv
35,0.19,0.4,0.2,seir_beta0p19_sigma0p4_gamma0p2.csv
36,0.19,0.45,0.1,seir_beta0p19_sigma0p45_gamma0p1.csv
37,0.19,0.45,0.125,seir_beta0p19_sigma0p45_gamma0p125.csv
