Step,Susceptible,Exposed,Infected,Removed
0,88218,2,5,0
1,88213,7,3,2
2,88208,9,6,2
3,88203,10,10,2
4,88190,17,12,6
5,88180,16,22,7
6,88156,31,28,10
7,88129,42,41,13
8,88090,57,61,17
9,88026,95,78,26
10,87949,130,108,38
11,87826,196,152,51
12,87681,253,225,66
13,87462,345,320,98
14,87120,497,467,141
15,86635,728,657,205
16,85994,1018,913,300
17,85130,1368,1309,418
18,83890,1947,1807,581
19,82143,2716,2533,833
20,79693,3826,3551,1155
21,76473,5152,4977,1623
22,72163,6896,6942,2224
23,66492,9041,9612,3080
24,59261,11706,12971,4287
25,50678,14534,17089,5924
26,41321,16631,22277,7996
27,31573,18058,27816,10778
28,22622,17867,33357,14379
29,15271,16456,37939,18559
30,9715,13776,41355,23379
31,5924,10663,43071,28567
32,3512,7746,43175,33792
33,2104,5300,41569,39252
34,1281,3402,39130,44412
35,808,2131,36064,49222
36,505,1333,32677,53710
37,336,829,29252,57808
38,246,501,26058,61420
39,178,322,23193,64532
40,130,216,20390,67489
41,105,131,17948,70041
42,93,71,15688,72373
43,80,51,13733,74361
44,71,35,12084,76035
45,59,27,10629,77510
46,50,25,9300,78850
47,47,17,8157,80004
48,42,13,7105,81065
49,38,7,6245,81935
50,34,9,5433,82749
51,29,10,4740,83446
52,29,6,4115,84075
53,29,3,3580,84613
54,27,3,3141,85054
55,26,3,2718,85478
56,26,2,2345,85852
57,26,1,2045,86153
58,26,0,1771,86428
59,26,0,1564,86635
60,25,1,1347,86852
61,25,0,1198,87002
62,25,0,1017,87183
63,24,1,885,87315
64,24,1,787,87413
65,24,1,682,87518
66,24,0,593,87608
67,24,0,532,87669
68,24,0,467,87734
69,24,0,403,87798
70,24,0,351,87850
71,24,0,304,87897
72,24,0,277,87924
73,23,1,238,87963
74,23,0,214,87988
75,23,0,190,88012
76,23,0,168,88034
77,23,0,152,88050
78,23,0,132,88070
79,22,1,114,88088
80,22,1,93,88109
81,22,1,80,88122
82,21,1,71,88132
83,21,1,63,88140
84,21,0,57,88147
85,21,0,50,88154
86,21,0,43,88161
87,21,0,39,88165
88,21,0,33,88171
89,21,0,31,88173
90,21,0,31,88173
91,21,0,26,88178
92,21,0,23,88181
93,21,0,18,88186
94,21,0,17,88187
95,21,0,17,88187
96,21,0,16,88188
97,21,0,13,88191
98,21,0,10,88194
99,21,0,6,88198
100,21,0,5,88199
101,21,0,5,88199
102,21,0,4,88200
103,21,0,3,88201
104,21,0,3,88201
105,21,0,3,88201
106,21,0,3,88201
107,21,0,1,88203
108,21,0,1,88203
109,21,0,1,88203
110,21,0,1,88203
111,21,0,1,88203
112,21,0,1,88203
113,21,0,0,88204
114,21,0,0,88204
115,21,0,0,88204
116,21,0,0,88204
117,21,0,0,88204
118,21,0,0,88204
119,21,0,0,88204
